population,micro_code,micro_name,longitude,latitude
185869.0,21007,Gurupi,-46.17017454614216,-2.4838602387728463
558471.0,21008,Pindaré,-45.99931140519029,-3.95537518059337
516307.0,21009,Imperatriz,-47.17076839946967,-5.22039555315479
396052.0,21010,Médio Mearim,-44.78227015949117,-4.37858033748994
269347.0,21011,Alto Mearim e Grajaú,-45.63865265821497,-5.774324022246686
178535.0,21012,Presidente Dutra,-44.23756583394621,-5.330775975041161
122989.0,21013,Baixo Parnaíba Maranhense,-42.49275096301401,-3.178497333521796
181117.0,21014,Chapadinha,-43.27204337859269,-3.62871375170368
243953.0,21015,Codó,-44.00426160787309,-4.388676675285225
75470.0,21016,Coelho Neto,-43.26849216423821,-4.369284458207109
368259.0,21017,Caxias,-43.40517573548179,-5.25904132545757
190210.0,21018,Chapadas do Alto Itapecuru,-44.13536096605844,-6.4018126249900265
90782.0,21019,Porto Franco,-47.125159414859375,-6.939336793044806
107571.0,21020,Gerais de Balsas,-46.31972435985888,-8.4852686727211
61479.0,21021,Chapadas das Mangabeiras,-45.38354971830688,-7.159389345189392
306030.0,22001,Baixo Parnaíba Piauiense,-42.27499991534691,-4.028831832367372
276211.0,22002,Litoral Piauiense,-41.61801523454196,-3.5288181706644823
893917.0,22003,Teresina,-42.589054184174174,-5.097030705983317
211108.0,22004,Campo Maior,-41.598734817228944,-5.191947714367783
125950.0,22005,Médio Parnaíba Piauiense,-42.69423829486232,-6.188755727679057
103869.0,22006,Valença do Piaui,-41.68964047915627,-6.282666007326177
37005.0,22007,Alto Parnaiba Piauiense,-45.0889540931697,-8.285126628906022
38442.0,22008,Bertolinia,-43.97948782232652,-7.752198087866671
119667.0,22009,Floriano,-43.13864179678952,-7.32532405496309
78125.0,22010,Alto Médio Gurguéia,-44.7660795792482,-9.29661850720712
122355.0,22011,São Raimundo Nonato,-42.90369489659074,-8.818986999855927
77298.0,22012,Chapadas do Extremo Sul Piauiense,-44.56388242371507,-10.20839451163862
187050.0,22013,Picos,-41.888858542744224,-6.976057374717598
52767.0,22014,Pio IX,-40.87923379529813,-6.903045504852515
243216.0,22015,Alto Médio Canindé,-41.61778689336632,-7.946277750669254
321656.0,23001,Litoral de Camocim e Acaraú,-40.59786567778915,-3.097636759196079
262973.0,23002,Ibiapaba,-41.00694775432583,-3.873735001658216
51074.0,23003,Coreaú,-40.707311062281946,-3.506677596176532
21114.0,23004,Meruoca,-40.49438525877529,-3.5896845864140983
332412.0,23005,Sobral,-40.20507387435168,-3.735289783088688
137061.0,23006,Ipu,-40.72434590264788,-4.430042960680986
69579.0,23007,Santa Quitéria,-40.12149509240229,-4.3978444926157225
175206.0,23008,Itapipoca,-39.59602650763142,-3.330768644578176
90619.0,23009,Baixo Curu,-39.07707526598576,-3.540183229157568
88013.0,23010,Uruburetama,-39.48059390272123,-3.669859814757464
75543.0,23011,Médio Curu,-39.32025839887661,-3.898806007362737
113282.0,23012,Canindé,-39.39527788656319,-4.375113100730276
173783.0,23013,Baturité,-38.850048494217305,-4.4126469838471385
58065.0,23014,Chorozinho,-38.51953874817278,-4.439736597710695
116676.0,23015,Cascavel,-38.17925501293832,-4.336619154583748
2909748.0,23016,Fortaleza,-38.68120936719016,-3.900405519709053
81000.0,23017,Pacajus,-38.48918609682242,-4.154261930475686
234374.0,23018,Sertão de Crateus,-40.51208929489737,-5.238578378841124
236443.0,23019,Sertão de Quixeramobim,-39.29767018094709,-5.057508672631092
138970.0,23020,Sertão de Inhamuns,-40.27276422498249,-6.254658562436732
